location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
MS,50.36085635373155,35.271760575280624,29.96%,54.37%,55.60%,26027,4423797
MT,69.71659688741235,43.866239874401415,37.08%,65.44%,56.99%,5879,667791
NC,52.28069561070951,28.87005842930606,44.78%,71.19%,71.25%,110008,16494858
ND,65.71223190295359,35.44947886389768,46.05%,76.00%,80.00%,6113,599108
NE,55.14673762603381,31.493423551929155,42.89%,75.67%,74.78%,21969,2204573
NH,54.908374450182066,24.16749482360632,55.99%,79.99%,77.66%,9866,1253853
NJ,49.3390586370851,21.898397396138744,55.62%,83.15%,81.29%,90336,12814185
NM,57.94789435391182,31.31951262094369,45.95%,76.72%,79.29%,16091,2249376
NV,80.37674889545521,47.892010838771704,40.42%,73.65%,72.66%,55161,7912416
NY,71.10009438463422,33.2407128753468,53.25%,86.18%,84.38%,264177,41198481
OH,44.91610112484963,24.849958131212716,44.67%,74.24%,74.33%,134181,18594793
OK,52.326503631858785,33.025081810100225,36.89%,62.95%,65.04%,40655,5163750
OR,71.21408041156303,34.29927938220382,51.84%,82.92%,82.46%,40600,6251092
PA,54.35179154279499,29.82635317070025,45.12%,76.53%,75.67%,123875,18867563
PR,45.33950386087573,19.54672462799911,56.89%,82.30%,80.62%,8032,1209372
RI,46.86115902691135,18.145081137072797,61.28%,85.52%,82.76%,11041,1609472
SC,48.37056026226536,28.55248761553717,40.97%,65.30%,63.12%,47034,6780341
SD,68.7603944884151,42.69177973587505,37.91%,67.12%,65.74%,6677,706572
TN,56.98855609093775,31.86064920083133,44.09%,70.65%,70.84%,79501,11285701
TX,73.30924493257315,40.53351759936296,44.71%,69.64%,70.26%,444134,67017378
UT,68.803390627252,32.74425047565908,52.41%,78.92%,82.74%,26158,3077605
VA,57.64979915219838,31.023379007619823,46.19%,76.62%,75.85%,92328,14417253
VI,131.70415034861304,60.6792622953265,53.93%,94.67%,97.28%,732,89289
VT,57.45936295957039,27.774181842034736,51.66%,83.47%,78.56%,4313,574357
WA,75.34287345605978,28.879590435805593,61.67%,88.25%,88.50%,74287,10250705
WI,56.36518951189399,28.25466071585093,49.87%,77.65%,77.32%,39109,5028926
WV,46.58325460968458,29.659569934372644,36.33%,61.37%,65.70%,15188,1748739
WY,70.94043707012911,53.37361519034028,24.76%,57.41%,59.07%,3458,410700
United States,65.57541335131346,34.824721114524216,46.89%,76.65%,76.21%,4003099,559036733
New York City,85.76634120113808,38.73694761660466,54.83%,89.97%,87.25%,167753,24183863
Los Angeles,102.98628961152384,52.767527787707564,48.76%,86.60%,84.16%,128076,19908230
Chicago,63.87290566002356,27.54311950737474,56.88%,89.20%,85.48%,62724,9797258
Houston,53.93163881397175,32.538576355260176,39.67%,75.17%,75.70%,74084,13932026
Phoenix,60.4835467509955,26.298628343731643,56.52%,81.94%,82.22%,23219,3601648
Philadelphia,55.142305503028744,30.625752510152754,44.46%,81.24%,82.55%,34075,6565924
San Antonio,45.39361229029033,25.4555297532651,43.92%,79.93%,80.33%,34030,5339433
San Diego,79.30094154866777,37.50247560512682,52.71%,89.23%,89.27%,31345,3991458
Dallas,64.1416971374255,33.368582295998394,47.98%,78.08%,74.84%,29919,5447220
San Jose,60.41635222027874,23.484535949182742,61.13%,90.29%,90.37%,13982,1934635
Austin,72.66694039287452,34.25770571482208,52.86%,85.38%,84.68%,30014,4284304
Jacksonville,47.952110077156384,35.841071575889146,25.26%,51.42%,55.95%,671,75079
Fort Worth,51.622310898340686,30.40915594000462,41.09%,71.80%,74.42%,14629,2156981
Columbus,44.54151853716631,23.08501112870652,48.17%,78.89%,80.07%,20545,3501792
San Francisco,113.37647614195492,41.39442938282394,63.49%,96.35%,95.43%,33104,3864232
Charlotte,57.39283047508711,28.339927543166556,50.62%,77.66%,77.37%,18416,3330080
Indianapolis,46.42137622983358,22.667995624532498,51.17%,80.65%,80.68%,16515,2580463
Seattle,98.8333628718022,28.80567102811809,70.85%,96.74%,95.91%,21396,2994199
Denver,81.7604603191707,35.32391956631442,56.80%,85.92%,83.84%,15217,2087137
Washington,79.98759933407972,32.56400062177148,59.29%,91.82%,91.33%,40782,5984770
Boston,75.61829502454441,31.66705720706247,58.12%,89.63%,85.90%,21972,2760234
El Paso,50.880555617706136,28.25896354342473,44.46%,88.32%,92.52%,9473,1413187
Detroit,53.79444751802488,38.71403003443558,28.03%,75.64%,68.70%,9831,1846401
Nashville,72.67730018015581,34.99403264659673,51.85%,81.59%,79.85%,19637,3067694
Portland,78.76197442494083,33.9570044791925,56.89%,92.13%,89.73%,16230,2921487
Memphis,48.34323655564873,28.830378792591528,40.36%,75.29%,74.06%,10995,2013377
Oklahoma City,46.3005622243306,25.64808906862351,44.61%,72.13%,73.21%,9007,1429302
Las Vegas,82.78207832653413,52.55787784623936,36.51%,74.85%,74.65%,16639,2382836
Louisville,46.002941358827826,21.608729129155588,53.03%,78.73%,77.01%,7161,1068576
Baltimore,45.07746291724722,20.87802506040128,53.68%,80.09%,81.20%,12770,2579224
Milwaukee,52.844794105985365,26.381090006388078,50.08%,83.61%,80.84%,7915,1265859
Albuquerque,51.304602553624754,22.439476723582462,56.26%,88.19%,89.87%,6547,917068
Tucson,53.88116620377965,26.511853898736533,50.80%,82.28%,81.78%,7662,1044624
Fresno,37.50119404949871,17.993030948667062,52.02%,76.70%,77.51%,7774,1180145
Mesa,48.613031613945324,28.2449096625812,41.90%,79.60%,75.63%,5232,752746
Sacramento,61.456875156574576,34.20974773313091,44.34%,80.98%,82.10%,9039,1346251
Atlanta,87.99734635185949,49.913078148012936,43.28%,69.32%,66.87%,31643,5377942
Kansas City,61.88395508070588,29.20958337940736,52.80%,82.79%,82.44%,9655,1375670
Colorado Springs,64.3774682082506,33.30779082930277,48.26%,88.09%,91.65%,4885,674179
Miami,113.71898055319937,68.8866963171508,39.42%,81.56%,79.66%,21590,1870694
Raleigh,51.67188860520073,23.55702636311437,54.41%,78.30%,72.81%,10739,1505617
Omaha,49.91708959364893,24.646310019376926,50.63%,88.87%,84.90%,8491,998890
Long Beach,55.206237430717934,28.65051314972917,48.10%,77.24%,75.78%,10086,1649081
Virginia Beach,49.51769065390634,30.674632738831292,38.05%,84.62%,80.98%,6520,1034203
Oakland,87.27079388768931,27.942246832205573,67.98%,90.96%,91.82%,9804,1721711
Minneapolis,69.66233941180639,28.24703381002861,59.45%,88.66%,88.29%,11313,1602234
Tulsa,49.48515180837914,27.533302484164487,44.36%,74.85%,73.79%,4924,694430
Arlington,55.959099507201735,26.497594851105127,52.65%,84.47%,82.94%,13750,2030930
Tampa,70.5747170917826,32.74043695941861,53.61%,81.94%,80.87%,10010,1353636
New Orleans,55.52947274619951,29.684041211258013,46.54%,78.40%,79.03%,16977,3590000
Wichita,39.05676704297528,20.83325256613135,46.66%,76.92%,75.09%,5449,633047
Cleveland,53.528654798211385,30.825464549747572,42.41%,71.69%,71.71%,9403,1752364
Bakersfield,38.92761476345306,22.678496069755692,41.74%,68.59%,75.74%,5454,806976
Aurora,42.46874018999115,18.015307561551033,57.58%,89.54%,84.44%,695,54490
Anaheim,65.09271609768233,33.216210571019175,48.97%,74.08%,72.62%,8525,869097
Honolulu,140.43727305106955,68.82943885605282,50.99%,90.97%,87.66%,11599,972370
Santa Ana,47.11069847093745,23.16547407960749,50.83%,71.86%,71.49%,2868,364015
Riverside,45.16529691142537,26.47477566336968,41.38%,69.49%,74.79%,5889,753238
Corpus Christi,48.779617019694605,33.81346624038801,30.68%,67.47%,75.42%,5088,653901
Lexington,42.04304370748169,20.06838831826129,52.27%,78.38%,70.49%,1195,139616
Stockton,41.5184082331339,25.936218518598157,37.53%,64.56%,67.44%,3408,532431
Henderson,72.14311269636904,34.01512634952766,52.85%,79.20%,78.23%,5134,929700
St Paul,54.66254523165053,20.62682551642813,62.27%,90.74%,87.70%,4282,612045
St Louis,55.1057779848953,23.468591103340554,57.41%,90.01%,88.92%,7052,1066723
Cincinnati,55.390275293719476,22.90514275449256,58.65%,79.52%,73.95%,6816,897256
Pittsburgh,54.04918171654096,28.455854428580718,47.35%,88.02%,84.25%,8925,1396394
Greensboro,36.62169903131585,22.87371806936562,37.54%,69.30%,67.95%,6886,1567866
Anchorage,112.31084762748293,42.21548868207023,62.41%,97.21%,90.60%,3406,553524
Plano,71.19718085240301,41.42421296441717,41.82%,84.29%,83.90%,4209,675464
Lincoln,53.81617030492124,30.329635151954843,43.64%,74.03%,78.67%,5684,533769
Orlando,91.333896232935,49.0638255697439,46.28%,73.30%,73.34%,13328,1644417
Irvine,77.41298379000591,32.30683639157337,58.27%,87.33%,86.45%,4448,561062
Newark,54.01692219995349,23.79360882400391,55.95%,77.10%,74.63%,6029,969197
Toledo,39.294695346981676,24.70136410015634,37.14%,81.57%,80.07%,3726,579456
Durham,49.08445478865513,24.038267286019373,51.03%,79.42%,75.80%,5661,1127732
Chula Vista,55.9793118010013,30.618061851129603,45.30%,85.24%,84.92%,2874,373682
Fort Wayne,42.843868865213096,25.190662556598145,41.20%,79.18%,79.81%,3298,385509
Jersey City,58.71514152373604,24.014581835286346,59.10%,88.92%,85.35%,4501,680889
St Petersburg,64.9851479125817,26.861098345215392,58.67%,84.72%,84.00%,3931,699092
Laredo,38.09570224113517,24.942434191073488,34.53%,77.55%,73.70%,2189,265805
Madison,44.16663248519413,22.84773479580412,48.27%,75.63%,86.45%,927,80733
Chandler,58.47513226957353,28.164792234523915,51.83%,83.89%,80.23%,3399,433765
Buffalo,43.577877742506686,27.691766388892127,36.45%,77.80%,76.23%,5074,860992
Lubbock,52.95920420069163,38.55040788261191,27.21%,58.86%,67.79%,5933,674480
Scottsdale,88.28344079721302,39.9344420250468,54.77%,84.41%,82.99%,4645,540943
Reno,57.76149402917203,27.25561748489397,52.81%,87.46%,80.53%,4771,618014
Glendale,54.63541674160291,20.102484290343405,63.21%,84.69%,90.33%,240,42217
Gilbert,64.01607782208677,34.281439425347365,46.45%,83.25%,79.90%,3831,402094
Winston-Salem,37.96989755873782,24.434753221478893,35.65%,71.77%,73.73%,3576,558647
North Las Vegas,46.84345751770621,30.029378366616665,35.89%,73.65%,78.13%,2849,453204
Norfolk,45.60421563557056,28.340999930416764,37.85%,70.78%,68.97%,5181,1141750
Chesapeake,42.121314218500316,24.40634711163352,42.06%,74.02%,75.24%,2177,421039
Garland,36.4199952672859,26.05706828696604,28.45%,66.50%,72.96%,3235,504462
Irving,56.09796397883561,30.5576916348628,45.53%,73.78%,66.46%,3957,619336
Hialeah,33.729319994157564,21.254621627208547,36.98%,78.58%,74.74%,1811,223484
Fremont,77.10353642631364,31.60946568660218,59.00%,90.22%,82.08%,2873,404806
Boise,65.36243749486808,29.77277010360707,54.45%,85.73%,76.84%,3142,421330
Richmond,53.11210754263322,30.191921442050038,43.15%,77.81%,78.51%,8616,1420115
Baton Rouge,41.71430510308362,27.38231268279059,34.36%,60.52%,59.94%,7115,1921380
Spokane,61.39315676944418,30.64488002887629,50.08%,75.07%,86.13%,2273,304355
